"Year","Yearly","Total"
"2009","70.0","1242.0"
"2008","38.0","1172.0"
"2007","62.0","1134.0"
"2006","50.0","1072.0"
"2005","87.0","1022.0"
"2004","73.0","935.0"
"2003","77.0","862.0"
"2002","68.0","785.0"
"2001","73.0","717.0"
"2000","84.0","644.0"
"1999","76.0","560.0"
"1998","80.0","484.0"
"1997","96.0","404.0"
"1996","81.0","308.0"
"1995","46.0","227.0"
"1994","47.0","181.0"
"1993","51.0","134.0"
"1992","31.0","83.0"
"1991","16.0","52.0"
"1990","10.0","36.0"
"1989","10.0","26.0"
"1988","3.0","16.0"
"1987","3.0","13.0"
"1986","0.0","10.0"
"1985","2.0","10.0"
"1984","1.0","8.0"
"1983","1.0","7.0"
"1982","4.0","6.0"
"1981","2.0","2.0"
"1980","0.0","0.0"
"1979","0.0","0.0"
"1978","0.0","0.0"
"1977","0.0","0.0"
"1976","0.0","0.0"
"1975","0.0","0.0"
"1974","0.0","0.0"
"1973","0.0","0.0"
"1972","0.0","0.0"
